"Band","Genre","Location","Years active"
"۞","Black Metal",,"N/A"
"...and Here I Lie","Death/Doom Metal","Holley, New York","1994-2000, 2007-2007"
"...and They Will Meet God","Melodic Death Metal/Crossover","Palestine, Texas","2002-?"
"...in Agony of the Eclipsed Moon","Black Metal/Dark Ambient","Midland City, Alabama","N/A"
"...Under a Full Moon","Black/Doom Metal","Midland, Michigan (early); North Carolina / Norway (later)","2016-2017 (as Disrhythmia), 2017-Present"
".357","Black Metal/Grindcore","Jackson, Mississippi","2004-2006"
".44 Caliber Killers","Thrash Metal/Punk/Crossover","Syracuse, New York","2001-Present"
".50Cal Facial Fracture","Slam/Brutal Death Metal","Philadelphia, Pennsylvania","2020-2020 (as 50calibectomy), 2020-Present"
".Nema","Black Metal/Crust","Detroit, Michigan","1995-1999"
".springofdrownedpanda.","Sludge/Doom Metal","Peekskill, New York","N/A"
"'Big Jim' Shively","Doom Metal/Psychedelic Rock","Nashville, Tennessee","N/A"
"'Iisnááhí","Black Metal","Albuquerque, New Mexico","2018-Present"
"('M') Inc.","Death Metal","Apopka/Orlando, Florida","2009-2009 (as Massacre Inc.), 2009-?"
"((Thorlock))","Sludge/Stoner Metal","Cape Girardeau, Missouri","2007-Present"
"(god-rot)","Progressive Death Metal/Grindcore","Rochester, New York","2005-?"
"(Lone) Wolf & Cub","Progressive Metalcore","Chicago, Illinois","2003-2005 (as Wolf and Cub), 2005-?"
"(Origin Unknown)","Metalcore/Crossover","Ashburn/Sterling, Virginia","1998-2003, 2004-?"
"(Rabbit)","Drone/Doom Metal","Boston, Massachusetts","2010-Present"
"(sic)","Death Metal","Minneapolis, Minnesota","1993-1996"
"(waning)","Dark Ambient (early); Doom/Post-Metal (later)","Sacramento, California","2007-2018"
"[Omitted]","Death Metal/Grindcore","Los Angeles, California","2006-2015"
"[Sworn]","Black Metal/Industrial","Weslaco, Texas","2007-Present"
"[v.ę.r.ż]","Sludge/Post-Metal","Seattle, Washington","N/A"
"~Lair~","Avant-garde Black Metal","Mission, Texas","2011-?"
"$Greed$","Heavy/Thrash Metal","Los Angeles, California","1992-1994 (as Simon Le Greed), 1994-1996 (as Greed), 1999-? (as $Greed$)"
"$lamboy$","Death Metal/Grindcore (early); Slam/Brutal Death Metal (later)","Cary, Illinois","2016-2017, 2017-Present"
"$lutrot","Slam/Brutal Death Metal","Nevada / North Carolina / Texas","2013-2015, 2017-2019"
"0% Hate","Technical Death Metal","Las Vegas, Nevada","2016-Present"
"00","Stoner/Doom Metal/Rock","New Jersey","N/A"
"1:34","Melodic Death Metal","Bedford/Bloomington, Indiana","2010-2016"
"10 Kingdoms","Thrash/Heavy Metal","Dallas, Texas","1998-2015, 2015-? (as Blackwolfe)"
